,1/13/2021
Timestamp,cbt [mC]
1610548859,37069
1610548860,37068
1610548861,37068
1610548862,37068
1610548863,37068
1610548864,37068
1610548865,37068
1610548866,37068
1610548867,37068
1610548868,37068
1610548869,37068
1610548870,37068
1610548871,37068
1610548872,37068
1610548873,37068
1610548874,37068
1610548875,37068
1610548876,37068
1610548877,37068
1610548878,37068
1610548879,37068
1610548880,37068
1610548881,37068
1610548882,37068
1610548883,37068
1610548884,37068
1610548885,37068
1610548886,37068
1610548887,37068
1610548888,37068
1610548889,37068
1610548890,37068
1610548891,37068
1610548892,37068
1610548893,37068
1610548894,37068
1610548895,37068
1610548896,37068
1610548897,37068
1610548898,37068
1610548899,37068
1610548900,37068
1610548901,37068
1610548902,37068
1610548903,37068
1610548904,37068
1610548905,37068
1610548906,37068
1610548907,37068
1610548908,37068
1610548909,37068
1610548910,37068
1610548911,37068
1610548912,37068
1610548913,37068
1610548914,37068
1610548915,37068
1610548916,37068
1610548917,37068
1610548918,37068
1610548919,37068
1610548920,37068
1610548921,37068
1610548922,37068
1610548923,37068
1610548924,37068
1610548925,37068
1610548926,37068
1610548927,37068
1610548928,37068
1610548929,37068
1610548930,37068
1610548931,37068
1610548932,37068
1610548933,37068
1610548934,37068
1610548935,37068
1610548936,37068
1610548937,37068
1610548938,37068
1610548939,37068
1610548940,37068
1610548941,37068
1610548942,37068
1610548943,37068
1610548944,37068
1610548945,37068
1610548946,37068
1610548947,37068
1610548948,37068
1610548949,37068
1610548950,37068
1610548951,37068
1610548952,37068
1610548953,37068
1610548954,37068
1610548955,37068
1610548956,37068
1610548957,37068
1610548958,37068
1610548959,37068
1610548960,37068
1610548961,37068
1610548962,37068
1610548963,37068
1610548964,37068
1610548965,37068
1610548966,37068
1610548967,37068
1610548968,37068
1610548969,37068
1610548970,37068
1610548971,37068
1610548972,37068
1610548973,37068
1610548974,37068
1610548975,37068
1610548976,37068
1610548977,37068
1610548978,37068
1610548979,37068
1610548980,37068
1610548981,37068
1610548982,37068
1610548983,37068
1610548984,37068
1610548985,37068
1610548986,37068
1610548987,37068
1610548988,37068
1610548989,37069
1610548990,37069
1610548991,37069
1610548992,37069
1610548993,37069
1610548994,37069
1610548995,37069
1610548996,37069
1610548997,37064
1610548998,37064
1610548999,37064
1610549000,37064
1610549001,37064
1610549002,37064
1610549003,37064
1610549004,37064
1610549005,37064
1610549006,37064
1610549007,37064
1610549008,37064
1610549009,37064
1610549010,37064
1610549011,37064
1610549012,37064
1610549013,37064
1610549014,37064
1610549015,37064
1610549016,37064
1610549017,37064
1610549018,37064
1610549019,37064
1610549020,37064
1610549021,37064
1610549022,37064
1610549023,37064
1610549024,37064
1610549025,37064
1610549026,37064
1610549027,37064
1610549028,37064
1610549029,37064
1610549030,37064
1610549031,37064
1610549032,37064
1610549033,37064
1610549034,37064
1610549035,37064
1610549036,37064
1610549037,37064
1610549038,37064
1610549039,37064
1610549040,37064
1610549041,37064
1610549042,37064
1610549043,37064
1610549044,37064
1610549045,37064
1610549046,37063
1610549047,37063
1610549048,37063
1610549049,37063
1610549050,37063
1610549051,37064
1610549052,37064
1610549053,37064
1610549054,37064
1610549055,37064
1610549056,37064
1610549057,37064
1610549058,37064
1610549059,37064
1610549060,37064
1610549061,37064
1610549062,37064
1610549063,37064
1610549064,37064
1610549065,37064
1610549066,37064
1610549067,37064
1610549068,37064
1610549069,37064
1610549070,37064
1610549071,37064
1610549072,37064
1610549073,37064
1610549074,37064
1610549075,37064
1610549076,37064
1610549077,37064
1610549078,37064
1610549079,37064
1610549080,37064
1610549081,37064
1610549082,37064
1610549083,37064
1610549084,37064
1610549085,37064
1610549086,37064
1610549087,37064
1610549088,37064
1610549089,37064
1610549090,37064
1610549091,37064
1610549092,37064
1610549093,37064
1610549094,37064
1610549095,37064
1610549096,37064
1610549097,37064
1610549098,37064
1610549099,37064
1610549100,37064
1610549101,37064
1610549102,37064
1610549103,37064
1610549104,37064
1610549105,37064
1610549106,37064
1610549107,37064
1610549108,37064
1610549109,37064
1610549110,37064
1610549111,37064
1610549112,37064
1610549113,37064
1610549114,37064
1610549115,37064
1610549116,37064
1610549117,37059
1610549118,37059
